SN	VFG	gi	name	shortDesc	vfDesc	vfID	org	vfclass
16197	VFG007778	119868912	fadD26__1	AMP-dependent synthetase and ligase	fad	CVF288	Mycobacterium sp. KMS	Cell surface components
16198	VFG008150	118467129	fbpA__4	antigen 85-A	Antigen 85	CVF291	Mycobacterium avium 104	Secreted proteins
16199	VFG008149	41406314	fbpA__4	FbpA	Antigen 85	CVF291	Mycobacterium avium subsp. paratuberculosis K-10	Secreted proteins
16200	VFG008451	523911669	fbpA__4	antigen 85-A	Antigen 85	CVF291	Mycobacterium yongonense 05-1390	Secreted proteins
16201	VFG008111	433650487	panC	pantothenate synthetase	Pantothenate synthesis	CVF305	Mycobacterium smegmatis JS623	Lipid and fatty acid metabolism
16202	VFG007943	126435438	drrC__2	daunorubicin resistance ABC transporter, inner membrane subunit C	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium sp. JLS	Cell surface components
16203	VFG023867	387876475	W7S_15445	methyltransferase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium intracellulare str. MOTT36Y	Cell surface components
16204	VFG023123	183980211	mce6A	MCE-family protein Mce6A	Mce6	CVF341	Mycobacterium marinum M	Mammalian cell entry (mce) operons
16205	VFG027859	443488656	mce6A	MCE-family protein Mce6A	Mce6	CVF341	Mycobacterium liflandii 128FXT	Mammalian cell entry (mce) operons
16206	VFG010325	118619945	mce6A	MCE-family protein Mce6A	Mce6	CVF341	Mycobacterium ulcerans Agy99	Mammalian cell entry (mce) operons
16207	VFG010103	120401523	mce3B__2	virulence factor Mce family protein	Mce3	CVF338	Mycobacterium vanbaalenii PYR-1	Mammalian cell entry (mce) operons
16208	VFG010102	145221250	mce3B__2	virulence factor Mce family protein	Mce3	CVF338	Mycobacterium gilvum PYR-GCK	Mammalian cell entry (mce) operons
16209	VFG028441	494698302	J113_27150	hypothetical protein	ESX-2 (T7SS)	CVF634	Mycobacterium tuberculosis CAS/NITR204	Secretion system
16210	VFG028444	386000680	MTCTRI2_3967	hypothetical protein	ESX-2 (T7SS)	CVF634	Mycobacterium tuberculosis CTRI-2	Secretion system
16211	VFG021955	148825096	TBFG_13923	hypothetical protein	ESX-2 (T7SS)	CVF634	Mycobacterium tuberculosis F11	Secretion system
16212	VFG028449	383309593	MRGA327_23950	hypothetical protein	ESX-2 (T7SS)	CVF634	Mycobacterium tuberculosis RGTB327	Secretion system
16213	VFG028622	479313139	eccB3__4	hypothetical protein	ESX-3 (T7SS)	CVF635	Mycobacterium tuberculosis str. Beijing/NITR203	Secretion system
16214	VFG028616	433629377	eccB3__1	ESX conserved componant EccB3	ESX-3 (T7SS)	CVF635	Mycobacterium canettii CIPT 140070010	Secretion system
16215	VFG028617	433633303	eccB3__1	ESX conserved componant EccB3	ESX-3 (T7SS)	CVF635	Mycobacterium canettii CIPT 140070017	Secretion system
16216	VFG028615	433640419	eccB3__1	ESX conserved componant EccB3	ESX-3 (T7SS)	CVF635	Mycobacterium canettii CIPT 140070008	Secretion system
16217	VFG023328	339630358	eccB3__1	putative conserved membrane protein	ESX-3 (T7SS)	CVF635	Mycobacterium africanum GM041182	Secretion system
16218	VFG023329	340625321	eccB3__1	hypothetical protein	ESX-3 (T7SS)	CVF635	Mycobacterium canettii CIPT 140010059	Secretion system
16219	VFG028628	494690939	eccB3__2	hypothetical protein	ESX-3 (T7SS)	CVF635	Mycobacterium tuberculosis str. Haarlem/NITR202	Secretion system
16220	VFG009663	118617734	katG__1	catalase-peroxidase-peroxynitritase T KatG	Catalase-peroxidase	CVF321	Mycobacterium ulcerans Agy99	Stress adaptation
16221	VFG026869	443491025	katG__1	catalase-peroxidase-peroxynitritase T KatG	Catalase-peroxidase	CVF321	Mycobacterium liflandii 128FXT	Stress adaptation
16222	VFG024760	221229442	MLBr_00133	hypothetical protein	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium leprae Br4923	Cell surface components
16223	VFG007985	41408216	stf0__1	hypothetical protein	Sulfolipid-1 biosynthesis and transport	CVF289	Mycobacterium avium subsp. paratuberculosis K-10	Cell surface components
16224	VFG009299	15827027	panC	pantoate--beta-alanine ligase	Pantothenate synthesis	CVF305	Mycobacterium leprae TN	Lipid and fatty acid metabolism
16225	VFG010147	145221248	mce3D	virulence factor Mce family protein	Mce3	CVF338	Mycobacterium gilvum PYR-GCK	Mammalian cell entry (mce) operons
16226	VFG017460	148823582	mbtE__1	peptide synthetase mbtE	Mycobactin	CVF315	Mycobacterium tuberculosis F11	Metal uptake
16227	VFG031039	118465544	zmp1__2	peptidase M13	Zn++ metallophrotease	CVF655	Mycobacterium avium 104	Protease
16228	VFG031061	379756913	zmp1__2	peptidase family protein M13	Zn++ metallophrotease	CVF655	Mycobacterium intracellulare MOTT-02	Protease
16229	VFG031060	387878279	zmp1__2	peptidase family protein M13	Zn++ metallophrotease	CVF655	Mycobacterium intracellulare str. MOTT36Y	Protease
16230	VFG031063	379749615	zmp1__2	peptidase family protein M13	Zn++ metallophrotease	CVF655	Mycobacterium intracellulare ATCC 13950	Protease
16231	VFG031059	406033180	zmp1__2	neprilysin	Zn++ metallophrotease	CVF655	Mycobacterium indicus pranii MTCC 9506	Protease
16232	VFG031083	523916357	zmp1__2	peptidase family protein M13	Zn++ metallophrotease	CVF655	Mycobacterium yongonense 05-1390	Protease
16233	VFG009921	15842122	relA__1	GTP pyrophosphokinase	(p)ppGpp synthesis and hydrolysis	CVF335	Mycobacterium tuberculosis CDC1551	Regulation
16234	VFG007843	126435445	ppsB__4	beta-ketoacyl synthase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium sp. JLS	Cell surface components
16235	VFG007844	119868911	ppsB__4	beta-ketoacyl synthase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium sp. KMS	Cell surface components
16236	VFG017576	386006664	eccCa1	hypothetical protein	ESX-1 (T7SS)	CVF298	Mycobacterium tuberculosis RGTB423	Secretion system
16237	VFG030170	333990317	caeA	exported protease	Carboxylesterase	CVF648	Mycobacterium sp. JDM601	Cell surface components
16238	VFG010172	120401392	mce3E__1	virulence factor Mce family protein	Mce3	CVF338	Mycobacterium vanbaalenii PYR-1	Mammalian cell entry (mce) operons
16239	VFG009517	118467200	mbtC__1	erythronolide synthase, modules 1 and 2	Mycobactin	CVF315	Mycobacterium avium 104	Metal uptake
16240	VFG009516	41408273	mbtC__1	MbtC	Mycobactin	CVF315	Mycobacterium avium subsp. paratuberculosis K-10	Metal uptake
16241	VFG026660	523913216	mbtA__1	2,3-dihydroxybenzoate-AMP ligase	Mycobactin	CVF315	Mycobacterium yongonense 05-1390	Metal uptake
16242	VFG024027	387875264	mbtA__1	2,3-dihydroxybenzoate-AMP ligase	Mycobactin	CVF315	Mycobacterium intracellulare str. MOTT36Y	Metal uptake
16243	VFG024026	406030124	mbtA__1	2,3-dihydroxybenzoate-AMP ligase	Mycobactin	CVF315	Mycobacterium indicus pranii MTCC 9506	Metal uptake
16244	VFG024028	379754005	mbtA__1	2,3-dihydroxybenzoate-AMP ligase	Mycobactin	CVF315	Mycobacterium intracellulare MOTT-02	Metal uptake
16245	VFG024030	379746722	mbtA__1	2,3-dihydroxybenzoate-AMP ligase	Mycobactin	CVF315	Mycobacterium intracellulare ATCC 13950	Metal uptake
16246	VFG021985	41406258	esxD	hypothetical protein	ESX-2 (T7SS)	CVF634	Mycobacterium avium subsp. paratuberculosis K-10	Secretion system
16247	VFG024134	406032380	sigF	RNA polymerase sigma-F factor	Sigma F	CVF326	Mycobacterium indicus pranii MTCC 9506	Regulation
16248	VFG007829	118617597	ppsA__1	phenolpthiocerol synthesis type-I polyketide synthase PpsA	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium ulcerans Agy99	Cell surface components
16249	VFG008840	443490202	ppsA__1	phenolpthiocerol synthesis type-I polyketide synthase PpsA	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium liflandii 128FXT	Cell surface components
16250	VFG022400	183981789	ppsA__1	phenolpthiocerol synthesis type-I polyketide synthase PpsA	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium marinum M	Cell surface components
16251	VFG009735	126433912	sigF	RNA polymerase, sigma 28 subunit, FliA/WhiG family	Sigma F	CVF326	Mycobacterium sp. JLS	Regulation
16252	VFG027008	433646140	sigF	RNA polymerase sigma-70 factor, sigma-B/F/G subfamily	Sigma F	CVF326	Mycobacterium smegmatis JS623	Regulation
16253	VFG029963	507419861	fad23__1	acyl-CoA synthetase	fad	CVF650	Mycobacterium abscessus subsp. bolletii 50594	Cell surface components
16254	VFG022290	119870538	cyp143__1	cytochrome P450	ESX-5 (T7SS)	CVF293	Mycobacterium sp. KMS	Secretion system
16255	VFG029946	119866312	fad23__1	acyl-CoA synthetase	fad	CVF650	Mycobacterium sp. KMS	Cell surface components
16256	VFG029945	126432850	fad23__1	acyl-CoA synthetase	fad	CVF650	Mycobacterium sp. JLS	Cell surface components
16257	VFG026967	397679869	sigA/rpoV__1	RNA polymerase sigma factor rpoD	Sigma A	CVF325	Mycobacterium abscessus subsp. bolletii str. GO 06	Regulation
16258	VFG008567	375298095	pks2__1	polyketide synthase pks2	Sulfolipid-1 biosynthesis and transport	CVF289	Mycobacterium tuberculosis KZN 4207	Cell surface components
16259	VFG024545	315442106	mycP3	subtilisin-like serine protease	ESX-3 (T7SS)	CVF635	Mycobacterium gilvum Spyr1	Secretion system
16260	VFG022156	145220924	mycP3	peptidase S8/S53 subtilisin kexin sedolisin	ESX-3 (T7SS)	CVF635	Mycobacterium gilvum PYR-GCK	Secretion system
16261	VFG009004	397678353	erp__1	exported repetitive protein	Exported repetitive protein	CVF283	Mycobacterium abscessus subsp. bolletii str. GO 06	Cell surface components
16262	VFG027914	479316128	nuoG__1	NADH dehydrogenase subunit G	NuoG	CVF620	Mycobacterium tuberculosis str. Beijing/NITR203	Anti-apoptosis factor
16263	VFG027915	494697525	nuoG__1	NADH dehydrogenase subunit G	NuoG	CVF620	Mycobacterium tuberculosis CAS/NITR204	Anti-apoptosis factor
16264	VFG022855	340628127	nuoG__1	putative NADH dehydrogenase I subunit G NuoG	NuoG	CVF620	Mycobacterium canettii CIPT 140010059	Anti-apoptosis factor
16265	VFG017480	15610287	nuoG__1	NADH dehydrogenase gamma subunit	NuoG	CVF620	Mycobacterium tuberculosis H37Rv	Anti-apoptosis factor
16266	VFG017479	148824345	nuoG__1	NADH dehydrogenase I chain G nuoG (NADH-ubiquinone oxidoreductase chain G)	NuoG	CVF620	Mycobacterium tuberculosis F11	Anti-apoptosis factor
16267	VFG027909	433636231	nuoG__1	NADH-quinone oxidoreductase subunit G	NuoG	CVF620	Mycobacterium canettii CIPT 140070017	Anti-apoptosis factor
16268	VFG027908	433632251	nuoG__1	NADH-quinone oxidoreductase subunit G	NuoG	CVF620	Mycobacterium canettii CIPT 140070010	Anti-apoptosis factor
16269	VFG022230	118463646	eccC4__2	ftsk/SpoIIIE family protein	ESX-4 (T7SS)	CVF636	Mycobacterium avium 104	Secretion system
16270	VFG009569	118473231	mbtI__2	anthranilate synthase component I	Mycobactin	CVF315	Mycobacterium smegmatis str. MC2 155	Metal uptake
16271	VFG007842	120404104	ppsB__2	beta-ketoacyl synthase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium vanbaalenii PYR-1	Cell surface components
16272	VFG010258	145222151	mce4D__1	virulence factor Mce family protein	Mce4	CVF339	Mycobacterium gilvum PYR-GCK	Mammalian cell entry (mce) operons
16273	VFG022105	15828363	esxH	cell surface protein	ESX-1 (T7SS)	CVF635	Mycobacterium leprae TN	Secretion system
16274	VFG009479	120404802	mbtF__2	amino acid adenylation domain	Mycobactin	CVF315	Mycobacterium vanbaalenii PYR-1	Metal uptake
16275	VFG010331	41406857	mce7A	hypothetical protein	Mce7	CVF342	Mycobacterium avium subsp. paratuberculosis K-10	Mammalian cell entry (mce) operons
16276	VFG010332	118467131	mce7A	virulence factor Mce family protein, putative	Mce7	CVF342	Mycobacterium avium 104	Mammalian cell entry (mce) operons
16277	VFG027925	499074975	nuoG__1	NADH dehydrogenase I chain G	NuoG	CVF620	Mycobacterium avium subsp. paratuberculosis MAP4	Anti-apoptosis factor
16278	VFG017486	118462718	nuoG__1	NADH-quinone oxidoreductase, chain g	NuoG	CVF620	Mycobacterium avium 104	Anti-apoptosis factor
16279	VFG022737	169629333	mbtA__2	bifunctional salicyl-AMP ligase/salicyl-S-arcp synthetase	Mycobactin	CVF315	Mycobacterium abscessus ATCC 19977	Metal uptake
16280	VFG026640	507421119	mbtA__2	mycobactin-specific salicyl-AMP ligase	Mycobactin	CVF315	Mycobacterium abscessus subsp. bolletii 50594	Metal uptake
16281	VFG026646	397679419	mbtA__2	2,3-dihydroxybenzoate-AMP ligase	Mycobactin	CVF315	Mycobacterium abscessus subsp. bolletii str. GO 06	Metal uptake
16282	VFG029725	183980134	mps2__1	non-ribosomal peptide synthetase	GPL locus	CVF650	Mycobacterium marinum M	Cell surface components
16283	VFG017547	148825089	espB__2	conserved alanine and glycine rich protein	LEE encoded T3SS	CVF298	Mycobacterium tuberculosis F11	Secretion system
16284	VFG028042	433632972	espB__2	ESX-1 secretion-associated protein B, Alanine and Glycine rich	LEE encoded T3SS	CVF298	Mycobacterium canettii CIPT 140070010	Secretion system
16285	VFG028043	433636981	espB__2	ESX-1 secretion-associated protein B, Alanine and Glycine rich	LEE encoded T3SS	CVF298	Mycobacterium canettii CIPT 140070017	Secretion system
16286	VFG017551	31795055	espB__2	CONSERVED HYPOTHETICAL ALANINE AND GLYCINE RICH PROTEIN	LEE encoded T3SS	CVF298	Mycobacterium bovis AF2122/97	Secretion system
16287	VFG028041	433644074	espB__2	ESX-1 secretion-associated protein B, Alanine and Glycine rich	LEE encoded T3SS	CVF298	Mycobacterium canettii CIPT 140070008	Secretion system
16288	VFG028051	386000673	espB__2	hypothetical protein	LEE encoded T3SS	CVF298	Mycobacterium tuberculosis CTRI-2	Secretion system
16289	VFG017485	41409305	nuoG__1	NADH dehydrogenase gamma subunit	NuoG	CVF620	Mycobacterium avium subsp. paratuberculosis K-10	Anti-apoptosis factor
16290	VFG017492	119867644	nuoG__1	NADH-quinone oxidoreductase, chain G	NuoG	CVF620	Mycobacterium sp. KMS	Anti-apoptosis factor
16291	VFG017491	126434142	nuoG__1	NADH-quinone oxidoreductase, chain G	NuoG	CVF620	Mycobacterium sp. JLS	Anti-apoptosis factor
16292	VFG027926	433646349	nuoG__2	NADH dehydrogenase subunit G	NuoG	CVF620	Mycobacterium smegmatis JS623	Anti-apoptosis factor
16293	VFG026542	385991704	mbtF__4	peptide synthetase mbtF	Mycobactin	CVF315	Mycobacterium tuberculosis CCDC5180	Metal uptake
16294	VFG023929	406028804	panC	Pantoate--beta-alanine ligase	Pantothenate synthesis	CVF305	Mycobacterium indicus pranii MTCC 9506	Lipid and fatty acid metabolism
16295	VFG023931	379752477	panC	pantoate--beta-alanine ligase	Pantothenate synthesis	CVF305	Mycobacterium intracellulare MOTT-02	Lipid and fatty acid metabolism
16296	VFG008109	523911911	panC	pantoate--beta-alanine ligase	Pantothenate synthesis	CVF305	Mycobacterium yongonense 05-1390	Lipid and fatty acid metabolism
16297	VFG023933	379745187	panC	pantoate--beta-alanine ligase	Pantothenate synthesis	CVF305	Mycobacterium intracellulare ATCC 13950	Lipid and fatty acid metabolism
16298	VFG009188	118618460	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium ulcerans Agy99	Secretion system
16299	VFG028062	443490618	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium liflandii 128FXT	Secretion system
16300	VFG023534	183982687	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium marinum M	Secretion system
16301	VFG022573	333990667	kasB__2	3-oxoacyl-(acyl carrier protein) synthase II	FAS-II	CVF300	Mycobacterium sp. JDM601	Lipid and fatty acid metabolism
16302	VFG028775	507421097	mycP3	type VII secretion-associated serine protease mycosin	ESX-3 (T7SS)	CVF635	Mycobacterium abscessus subsp. bolletii 50594	Secretion system
16303	VFG022873	333991745	sigF	RNA polymerase sigma factor SigF	Sigma F	CVF326	Mycobacterium sp. JDM601	Regulation
16304	VFG022639	333989135	proC__1	pyrroline-5-carboxylate reductase ProC	Proline synthesis	CVF307	Mycobacterium sp. JDM601	Amino acid and purine metabolism
16305	VFG030375	479316060	tgs4__2	hypothetical protein	MymA operon	CVF649	Mycobacterium tuberculosis str. Beijing/NITR203	Cell surface components
16306	VFG030368	433628229	tgs4__2	Putative diacylglycerol O-acyltransferase	MymA operon	CVF649	Mycobacterium canettii CIPT 140060008	Cell surface components
16307	VFG030356	15610225	tgs4__2	Putative triacylglycerol synthase (diacylglycerol acyltransferase) Tgs4	MymA operon	CVF649	Mycobacterium tuberculosis H37Rv	Cell surface components
16308	VFG030367	253797812	tgs4__2	hypothetical protein	MymA operon	CVF649	Mycobacterium tuberculosis KZN 1435	Cell surface components
16309	VFG030370	433632176	tgs4__2	Putative diacylglycerol O-acyltransferase	MymA operon	CVF649	Mycobacterium canettii CIPT 140070010	Cell surface components
16310	VFG030365	340628079	tgs4__2	hypothetical protein	MymA operon	CVF649	Mycobacterium canettii CIPT 140010059	Cell surface components
16311	VFG030369	433643281	tgs4__2	Putative diacylglycerol O-acyltransferase	MymA operon	CVF649	Mycobacterium canettii CIPT 140070008	Cell surface components
16312	VFG030371	433636158	tgs4__2	Putative diacylglycerol O-acyltransferase	MymA operon	CVF649	Mycobacterium canettii CIPT 140070017	Cell surface components
16313	VFG024251	379762387	mce3A__2	virulence factor Mce family protein	Mce3	CVF338	Mycobacterium intracellulare MOTT-64	Mammalian cell entry (mce) operons
16314	VFG027811	433650309	mce4E__1	virulence factor Mce family protein	Mce4	CVF339	Mycobacterium smegmatis JS623	Mammalian cell entry (mce) operons
16315	VFG010308	41407952	mce5D	hypothetical protein	Mce5	CVF340	Mycobacterium avium subsp. paratuberculosis K-10	Mammalian cell entry (mce) operons
16316	VFG010309	118464427	mce5D	virulence factor Mce family protein	Mce5	CVF340	Mycobacterium avium 104	Mammalian cell entry (mce) operons
16317	VFG008933	433633679	mmaA4	Methoxy mycolic acid synthase 4 MmaA4 (methyl mycolic acid synthase 4) (MMA4) (hydroxy mycolic acid synthase)	Methyltransferase	CVF287	Mycobacterium canettii CIPT 140070017	Cell surface components
16318	VFG001385	15607782	mmaA4	METHOXY MYCOLIC ACID SYNTHASE 4 MMAA4 (METHYL MYCOLIC ACID SYNTHASE 4) (MMA4) (HYDROXY MYCOLIC ACID SYNTHASE)	Methyltransferase	VF0314	Mycobacterium tuberculosis H37Rv	Cell wall
16319	VFG008941	385997421	mmaA4	methoxy mycolic acid synthase	Methyltransferase	CVF287	Mycobacterium tuberculosis CTRI-2	Cell surface components
16320	VFG007757	31791826	mmaA4	METHOXY MYCOLIC ACID SYNTHASE 4 MMAA4 (METHYL MYCOLIC ACID SYNTHASE 4) (MMA4) (HYDROXY MYCOLIC ACID SYNTHASE)	Methyltransferase	CVF287	Mycobacterium bovis AF2122/97	Cell surface components
16321	VFG027872	433649100	mce7A	virulence factor Mce family protein	Mce7	CVF342	Mycobacterium smegmatis JS623	Mammalian cell entry (mce) operons
16322	VFG010333	118472804	mce7A	virulence factor	Mce7	CVF342	Mycobacterium smegmatis str. MC2 155	Mammalian cell entry (mce) operons
16323	VFG009508	126436056	mbtD__3	acyl transferase domain protein	Mycobactin	CVF315	Mycobacterium sp. JLS	Metal uptake
16324	VFG009509	119869562	mbtD__3	acyl transferase domain protein	Mycobactin	CVF315	Mycobacterium sp. KMS	Metal uptake
16325	VFG023535	339631852	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium africanum GM041182	Secretion system
16326	VFG028073	383307626	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium tuberculosis RGTB327	Secretion system
16327	VFG009187	15827806	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium leprae TN	Secretion system
16328	VFG009185	41407611	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium avium subsp. paratuberculosis K-10	Secretion system
16329	VFG024604	387876053	eccA5	hypothetical protein	ESX-5 (T7SS)	CVF293	Mycobacterium intracellulare str. MOTT36Y	Secretion system
16330	VFG023090	333992267	mce4D__1	MCE-family protein Mce4D	Mce4	CVF339	Mycobacterium sp. JDM601	Mammalian cell entry (mce) operons
16331	VFG010362	145224742	mce7D__1	virulence factor Mce family protein	Mce7	CVF342	Mycobacterium gilvum PYR-GCK	Mammalian cell entry (mce) operons
16332	VFG010414	145225112	mce8E	virulence factor Mce family protein	Mce8	CVF343	Mycobacterium gilvum PYR-GCK	Mammalian cell entry (mce) operons
16333	VFG027574	386003627	mce2F	virulence factor mce family protein	Mce2	CVF337	Mycobacterium tuberculosis RGTB423	Mammalian cell entry (mce) operons
16334	VFG009303	120406312	panC	pantoate--beta-alanine ligase	Pantothenate synthesis	CVF305	Mycobacterium vanbaalenii PYR-1	Lipid and fatty acid metabolism
16335	VFG024380	379761476	mce8A	hypothetical protein	Mce8	CVF343	Mycobacterium intracellulare MOTT-64	Mammalian cell entry (mce) operons
16336	VFG008039	433627482	plcB__1	Putative membrane-associated phospholipase C 2 PlcB	Phospholipases C	CVF304	Mycobacterium canettii CIPT 140060008	Lipid and fatty acid metabolism
16337	VFG010345	120405103	mce7B	virulence factor Mce family protein	Mce7	CVF342	Mycobacterium vanbaalenii PYR-1	Mammalian cell entry (mce) operons
16338	VFG007914	120404101	ddrA	daunorubicin resistance ABC transporter ATPase subunit	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium vanbaalenii PYR-1	Cell surface components
16339	VFG010179	126436756	mce3E__1	virulence factor Mce family protein	Mce3	CVF338	Mycobacterium sp. JLS	Mammalian cell entry (mce) operons
16340	VFG024291	315442590	mce4D__1	virulence factor Mce family protein	Mce4	CVF339	Mycobacterium gilvum Spyr1	Mammalian cell entry (mce) operons
16341	VFG024133	315445714	sigF	sigma-70 family RNA polymerase sigma factor	Sigma F	CVF326	Mycobacterium gilvum Spyr1	Regulation
16342	VFG009733	145225367	sigF	RNA polymerase, sigma 28 subunit, FliA/WhiG family	Sigma F	CVF326	Mycobacterium gilvum PYR-GCK	Regulation
16343	VFG009734	120402666	sigF	RNA polymerase, sigma 28 subunit, FliA/WhiG family	Sigma F	CVF326	Mycobacterium vanbaalenii PYR-1	Regulation
16344	VFG024350	315443553	mce7B	virulence factor Mce family protein	Mce7	CVF342	Mycobacterium gilvum Spyr1	Mammalian cell entry (mce) operons
16345	VFG010343	145223096	mce7B	virulence factor Mce family protein	Mce7	CVF342	Mycobacterium gilvum PYR-GCK	Mammalian cell entry (mce) operons
16346	VFG010346	126436260	mce7B	virulence factor Mce family protein	Mce7	CVF342	Mycobacterium sp. JLS	Mammalian cell entry (mce) operons
16347	VFG010347	119869775	mce7B	virulence factor Mce family protein	Mce7	CVF342	Mycobacterium sp. KMS	Mammalian cell entry (mce) operons
16348	VFG010153	120405553	mce3D	virulence factor Mce family protein	Mce3	CVF338	Mycobacterium vanbaalenii PYR-1	Mammalian cell entry (mce) operons
16349	VFG009480	126436054	mbtF__4	amino acid adenylation domain	Mycobactin	CVF315	Mycobacterium sp. JLS	Metal uptake
16350	VFG009481	119869560	mbtF__4	amino acid adenylation domain	Mycobactin	CVF315	Mycobacterium sp. KMS	Metal uptake
16351	VFG022259	145225537	mycP4__3	peptidase S8/S53 subtilisin kexin sedolisin	ESX-4 (T7SS)	CVF636	Mycobacterium gilvum PYR-GCK	Secretion system
16352	VFG027891	499075989	mce8E	MCE-family lipoprotein	Mce8	CVF343	Mycobacterium avium subsp. paratuberculosis MAP4	Mammalian cell entry (mce) operons
16353	VFG027788	433650310	mce4D__1	virulence factor Mce family protein	Mce4	CVF339	Mycobacterium smegmatis JS623	Mammalian cell entry (mce) operons
16354	VFG022852	183981492	nuoG__1	NADH dehydrogenase subunit G	NuoG	CVF620	Mycobacterium marinum M	Anti-apoptosis factor
16355	VFG027910	443489893	nuoG__1	NADH dehydrogenase I	NuoG	CVF620	Mycobacterium liflandii 128FXT	Anti-apoptosis factor
16356	VFG017487	118617952	nuoG__1	NADH dehydrogenase I (chain G) NuoG (NADH- ubiquinone oxidoreductase chain G)	NuoG	CVF620	Mycobacterium ulcerans Agy99	Anti-apoptosis factor
16357	VFG007841	120404105	ppsB__4	beta-ketoacyl synthase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium vanbaalenii PYR-1	Cell surface components
16358	VFG007830	145223981	ppsA__2	acyl transferase domain protein	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium gilvum PYR-GCK	Cell surface components
16359	VFG023843	315444313	ppsA__2	polyketide synthase family protein	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium gilvum Spyr1	Cell surface components
16360	VFG007831	120404107	ppsA__2	beta-ketoacyl synthase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium vanbaalenii PYR-1	Cell surface components
16361	VFG027434	523916385	mce1E__2	lprK	Mce1	CVF336	Mycobacterium yongonense 05-1390	Mammalian cell entry (mce) operons
16362	VFG024238	406033208	mce1E__2	Virulence factor Mce family protein	Mce1	CVF336	Mycobacterium indicus pranii MTCC 9506	Mammalian cell entry (mce) operons
16363	VFG031194	41409736	MAP3638	hypothetical protein	Heme uptake	CVF668	Mycobacterium avium subsp. paratuberculosis K-10	Metal uptake
16364	VFG023844	315444311	ppsB__5	polyketide synthase family protein	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium gilvum Spyr1	Cell surface components
16365	VFG007839	145223979	ppsB__5	beta-ketoacyl synthase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium gilvum PYR-GCK	Cell surface components
16366	VFG009801	41406689	phoP__1	PhoP	PhoP	CVF331	Mycobacterium avium subsp. paratuberculosis K-10	Regulation
16367	VFG009802	118466812	phoP__1	DNA-binding response regulator PhoP	PhoP	CVF331	Mycobacterium avium 104	Regulation
16368	VFG028595	397679409	eccA3__1	hypothetical protein	ESX-3 (T7SS)	CVF635	Mycobacterium abscessus subsp. bolletii str. GO 06	Secretion system
16369	VFG009732	118470482	sigF	RNA polymerase sigma-F factor	Sigma F	CVF326	Mycobacterium smegmatis str. MC2 155	Regulation
16370	VFG007874	120404102	ppsE__1	beta-ketoacyl synthase	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium vanbaalenii PYR-1	Cell surface components
16371	VFG009361	118469185	trpD__1	anthranilate phosphoribosyltransferase	Tryptophan synthesis	CVF308	Mycobacterium smegmatis str. MC2 155	Amino acid and purine metabolism
16372	VFG023847	315444308	ppsE__1	polyketide synthase family protein	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport	CVF288	Mycobacterium gilvum Spyr1	Cell surface components
